;ref;cliente;contrato;prazo;valor;mes;dia;prob;atraso
0;0,0;0941032;00001000000;14,0;5027,072492110148;0,0;1,0;0,0603081724731583;0,0
1;0,0;0307226;00001000001;4,0;5025,842698774811;0,0;1,0;0,061349435564622135;0,0
2;0,0;0762568;00001000002;12,0;5324,716597432176;0,0;1,0;0,06;0,0
3;0,0;0755076;00001000003;21,0;5112,277295291496;0,0;1,0;0,06404518914201596;0,0
4;0,0;0842387;00001000004;32,0;5209,717566285423;0,0;1,0;0,05787738550854894;0,0
5;0,0;0490747;00001000005;10,0;5674,278086877137;0,0;1,0;0,04842758572696845;0,0
6;0,0;0411659;00001000006;32,0;5104,217722761183;0,0;1,0;0,06667940351138413;0,0
7;0,0;0677199;00001000007;33,0;5009,411425107087;0,0;1,0;0,0595347243485246;0,0
8;0,0;0174802;00001000008;14,0;5195,992091595458;0,0;1,0;0,05904361995222865;0,0
9;0,0;0311046;00001000009;35,0;6042,819611732051;0,0;1,0;0,06311241883410555;0,0
10;0,0;0780415;00001000010;15,0;5961,486697648251;0,0;1,0;0,05990057119171555;0,0
11;0,0;0422919;00001000011;23,0;5833,609986803781;0,0;1,0;0,06206508390143474;0,0
12;0,0;0434140;00001000012;35,0;7629,129780956497;0,0;1,0;0,06336681798535596;0,0
13;0,0;0241380;00001000013;7,0;5078,134304744458;0,0;1,0;0,05667169733740132;0,0
14;0,0;0142990;00001000014;33,0;5302,8938559762255;0,0;1,0;0,06477805863419454;0,0
15;0,0;0130007;00001000015;3,0;5997,406398895052;0,0;1,0;0,06291517938283799;0,0
16;0,0;0836163;00001000016;35,0;9095,189626781019;0,0;1,0;0,05485689503713471;0,0
17;0,0;0172657;00001000017;1,0;5546,739248082045;0,0;1,0;0,06251392657375876;0,0
18;0,0;0045732;00001000018;2,0;7335,111296350481;0,0;1,0;0,05804159190238093;0,0
19;0,0;0415687;00001000019;11,0;5062,749064953999;0,0;1,0;0,057991819653790126;0,0
20;0,0;0879391;00001000020;31,0;5704,917905112452;0,0;1,0;0,07079897114766706;0,0
21;0,0;0540862;00001000021;21,0;5065,235189793915;0,0;1,0;0,060323282790756834;0,0
22;0,0;0115775;00001000022;6,0;5097,542363947516;0,0;1,0;0,06598810437969185;0,0
23;0,0;0182239;00001000023;25,0;5162,579285221577;0,0;1,0;0,06244070587875302;0,0
24;0,0;0519910;00001000024;27,0;5494,222564635696;0,0;1,0;0,056374959849299015;0,0
25;0,0;0629244;00001000025;34,0;5790,008178350404;0,0;1,0;0,06514112896916667;0,0
26;0,0;0378638;00001000026;12,0;5020,08469193755;0,0;1,0;0,05432814792312644;0,0
