ref;cliente;contrato;prazo;valor;mes;dia;prob;atraso;pgto
1,0;0678725;00001000000;18,0;5686,610537089682;0,0;1,0;0,06;0,0;346,78115613472806
1,0;0231575;00001000001;2,0;5590,414264016225;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0109962;00001000002;12,0;4773,3517177169515;0,0;1,0;0,06;0,0;424,10651805483263
1,0;0860476;00001000003;9,0;14964,161792567937;0,0;1,0;0,06;0,0;1746,9216774057152
1,0;0016438;00001000004;30,0;5328,9749879919;0,0;1,0;0,06;0,0;206,48772615912762
1,0;0869799;00001000005;2,0;4017,1189624994695;0,0;1,0;0,06;0,0;2038,7378376346678
1,0;0551745;00001000006;6,0;70996,26313758071;0,0;1,0;0,06;0,0;12250,289246965498
1,0;0653395;00001000007;4,0;4319,600878318076;0,0;1,0;0,06;0,0;1107,0320383571218
1,0;0230023;00001000008;15,0;4785,84507461744;0,0;1,0;0,06;0,0;345,17323816073076
1,0;0139647;00001000009;8,0;4571,00010826332;0,0;1,0;0,06;0,0;597,3853390789596
1,0;0997258;00001000010;30,0;19841,29107813569;0,0;1,0;0,06;0,0;768,8125930441789
1,0;0338252;00001000011;15,0;8432,985003875945;0,0;1,0;0,06;0,0;608,2187567221704
1,0;0589514;00001000012;8,0;4581,855075242122;0,0;1,0;0,06;0,0;598,8039778835398
1,0;0226475;00001000013;15,0;13111,00777915526;0,0;1,0;0,06;0,0;945,6154430664068
1,0;0481748;00001000014;5,0;5494,276801240831;0,0;1,0;0,06;0,0;1132,0396911618363
1,0;0680660;00001000015;2,0;5229,807576043768;0,0;1,0;0,06;0,0;2654,1923922001065
1,0;0275938;00001000016;14,0;4849,509184508418;0,0;1,0;0,06;0,0;372,93293831155444
1,0;0121708;00001000017;25,0;8106,131753457874;0,0;1,0;0,06;0,0;368,0731255616133
1,0;0706300;00001000018;33,0;5919,681042167191;0,0;1,0;0,06;0,0;211,49503632955293
1,0;0298954;00001000019;34,0;4958,046525438568;0,0;1,0;0,06;0,0;172,73818901334272
1,0;0536300;00001000020;29,0;4990,8047775469995;0,0;1,0;0,06;0,0;199,10825522191112
1,0;0141190;00001000021;21,0;4939,85365036624;0,0;1,0;0,06;0,0;261,9641548715248
1,0;0869258;00001000022;7,0;4476,135628188707;0,0;1,0;0,06;0,0;665,2803525083873
1,0;0162436;00001000023;30,0;5057,452265227269;0,0;1,0;0,06;0,0;195,96673295676862
1,0;0478442;00001000024;18,0;6366,170068631958;0,0;1,0;0,06;0,0;388,2220880349477
1,0;0581054;00001000025;33,0;4958,7958890026985;0,0;1,0;0,06;0,0;177,16507177074405
1,0;0171442;00001000026;23,0;5627,527136110037;0,0;1,0;0,06;0,0;275,10639149071767
1,0;0121827;00001000027;31,0;5362,47787245441;0,0;1,0;0,06;0,0;202,03527308157254
1,0;0412114;00001000028;21,0;5639,159836095781;0,0;1,0;0,06;0,0;299,0488879237858
1,0;0078429;00001000029;30,0;4925,999054193849;0,0;1,0;0,06;0,0;190,87316905305903
1,0;0373378;00001000030;32,0;5201,505841580299;0,0;1,0;0,06;0,0;190,74382644274004
1,0;0868416;00001000031;7,0;6195,310408062901;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0783904;00001000032;15,0;5204,0753496385605;0,0;1,0;0,06;0,0;375,3375865830275
1,0;0011182;00001000033;11,0;4760,274532474978;0,0;1,0;0,06;0,0;459,1478801617428
1,0;0851265;00001000034;11,0;5416,882241089173;0,0;1,0;0,06;0,0;522,4803698010157
1,0;0256592;00001000035;27,0;4900,538788630919;0,0;1,0;0,06;0,0;208,00595978967064
1,0;0989770;00001000036;3,0;3856,572478442753;0,0;1,0;0,06;0,0;1311,3199172014267
1,0;0504845;00001000037;33,0;5105,091630740473;0,0;1,0;0,06;0,0;182,3918437865488
1,0;0346387;00001000038;2,0;3466,7149827686867;0,0;1,0;0,06;0,0;1759,4009721006537
1,0;0320424;00001000039;17,0;6321,440724259002;0,0;1,0;0,06;0,0;406,2034866243937
1,0;0527192;00001000040;18,0;17924,574838659973;0,0;1,0;0,06;0,0;1093,0772813140752
1,0;0686933;00001000041;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0;5053,656952724363
1,0;0139686;00001000042;10,0;4608,13960491044;0,0;1,0;0,06;0,0;486,53694852413867
1,0;0133895;00001000043;23,0;7807,933105077018;0,0;1,0;0,06;0,0;381,6973689483516
1,0;0563542;00001000044;17,0;6184,818462593743;0,0;1,0;0,06;0,0;397,42440580094046
1,0;0541812;00001000045;7,0;5256,463368097253;0,0;1,0;0,06;0,0;781,2591246012475
1,0;0498001;00001000046;4,0;4130,330093533783;0,0;1,0;0,06;0,0;1058,5255145870851
1,0;0558426;00001000047;33,0;5052,7090338695925;0,0;1,0;0,188;29,0;0,0
1,0;0913669;00001000048;9,0;5154,517014039842;0,0;1,0;0,06;0,0;601,7401865338659
1,0;0421133;00001000049;31,0;5753,799185052564;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0132573;00001000050;6,0;4443,411266843885;0,0;1,0;0,06;0,0;766,7033567186402
1,0;0347250;00001000051;8,0;10495,422452386423;0,0;1,0;0,06;0,0;1371,6498254203514
1,0;0911927;00001000052;24,0;6012,194964647883;0,0;1,0;0,06;0,0;283,0148926692039
1,0;0905257;00001000053;28,0;12449,182429709712;0,0;1,0;0,06;0,0;511,9656007899237
1,0;0780700;00001000054;17,0;5553,444333173774;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0526914;00001000055;8,0;9432,544311634443;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0628937;00001000056;15,0;4742,128843043572;0,0;1,0;0,06;0,0;342,02025828418454
1,0;0603067;00001000057;28,0;4854,054743531084;0,0;1,0;0,06;0,0;199,62026157705023
1,0;0651907;00001000058;32,0;5460,044896696008;0,0;1,0;0,06;0,0;200,2246825947113
1,0;0665775;00001000059;16,0;5442,175505184442;0,0;1,0;0,06;0,0;369,7664205283038
1,0;0982572;00001000060;28,0;4859,686505513225;0,0;1,0;0,06;0,0;199,8518646098576
1,0;0049268;00001000061;13,0;5296,638327182708;0,0;1,0;0,06;0,0;436,5214925837112
1,0;0096206;00001000062;10,0;6460,969427509568;0,0;1,0;0,06;0,0;682,162568690093
1,0;0043647;00001000063;18,0;8248,886029671694;0,0;1,0;0,06;0,0;503,03396294432105
1,0;0447180;00001000064;9,0;4726,180387937307;0,0;1,0;0,06;0,0;551,7360133808478
1,0;0319914;00001000065;33,0;5285,864085182253;0,0;1,0;0,06;0,0;188,850380411615
1,0;0184713;00001000066;18,0;4826,482816506966;0,0;1,0;0,06;0,0;294,32880628207647
1,0;0942360;00001000067;19,0;5047,11206463306;0,0;1,0;0,06;0,0;292,99370575746656
1,0;0218813;00001000068;19,0;5200,752045322079;0,0;1,0;0,06;0,0;301,9127760531355
1,0;0295849;00001000069;27,0;5020,380886278076;0,0;1,0;0,06;0,0;213,0927209846103
1,0;0340353;00001000070;17,0;4809,095415723826;0,0;1,0;0,06;0,0;309,02311839764843
1,0;0089947;00001000071;10,0;5156,342799126065;0,0;1,0;0,06;0,0;544,4173801414095
1,0;0222244;00001000072;20,0;4924,691795980065;0,0;1,0;0,06;0,0;272,90334661314995
1,0;0059957;00001000073;5,0;4307,841127108369;0,0;1,0;0,06;0,0;887,5867226064528
1,0;0156284;00001000074;34,0;5037,1046499772165;0,0;1,0;0,06;0,0;175,492571649635
1,0;0358943;00001000075;16,0;5358,692024697756;0,0;1,0;0,06;0,0;364,09416910543104
1,0;0956908;00001000076;10,0;6538,461450644719;0,0;1,0;0,06;0,0;690,3443374088537
1,0;0707984;00001000077;33,0;4940,457614880507;0,0;1,0;0,06;0,0;176,5098922223753
1,0;0817333;00001000078;11,0;4657,290789837333;0,0;1,0;0,06;0,0;449,2146784523422
1,0;0059685;00001000079;29,0;5197,16091425561;0,0;1,0;0,06;0,0;207,34083737363775
1,0;0956266;00001000080;18,0;7686,188580675859;0,0;1,0;0,06;0,0;468,7195201590932
1,0;0981925;00001000081;34,0;5907,914038422869;0,0;1,0;0,06;0,0;205,83154405825175
1,0;0891713;00001000082;15,0;4792,312854257305;0,0;1,0;0,06;0,0;345,63971887776074
1,0;0639750;00001000083;22,0;5087,304182850935;0,0;1,0;0,06;0,0;258,75920776924323
1,0;0362940;00001000084;14,0;5649,57436972371;0,0;1,0;0,06;0,0;434,45888846672705
1,0;0862042;00001000085;2,0;3404,1418495184735;0,0;1,0;0,06;0,0;1727,6443287033696
1,0;0688314;00001000086;7,0;7030,49331143122;0,0;1,0;0,06;0,0;1044,9301489172024
1,0;0532998;00001000087;6,0;9483,257451881276;0,0;1,0;0,06;0,0;1636,320584420908
1,0;0711120;00001000088;15,0;6854,884628639207;0,0;1,0;0,06;0,0;494,4001921488759
1,0;0986456;00001000089;29,0;6845,458594130757;0,0;1,0;0,06;0,0;273,09970588373227
1,0;0841178;00001000090;19,0;5106,2762982761815;0,0;1,0;0,06;0,0;296,4282932683858
1,0;0310892;00001000091;10,0;4610,9442877718375;0,0;1,0;0,06;0,0;486,83307276471254
1,0;0254237;00001000092;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0;5156,49808038467
1,0;0763456;00001000093;34,0;4997,10328412183;0,0;1,0;0,06;0,0;174,09892528902364
1,0;0431199;00001000094;1,0;3977,049509355218;0,0;1,0;0,06;0,0;4016,8200044487676
1,0;0127125;00001000095;10,0;4809,88072812996;0,0;1,0;0,06;0,0;507,83719523942125
1,0;0515052;00001000096;28,0;9118,519727422145;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0812171;00001000097;28,0;15762,688925754246;0,0;1,0;0,06;0,0;648,2316852132935
1,0;0765657;00001000098;10,0;5647,938827471614;0,0;1,0;0,06;0,0;596,321109638441
1,0;0231125;00001000099;6,0;5500,286716089685;0,0;1,0;0,06;0,0;949,0654893028319
1,0;0574304;00001000100;14,0;4741,240148749529;0,0;1,0;0,06;0,0;364,60692260614974
1,0;0295573;00001000101;33,0;5537,524482600734;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0733931;00001000102;23,0;6846,521456462458;0,0;1,0;0,06;0,0;334,6979528655143
1,0;0724346;00001000103;23,0;30980,85901929084;0,0;1,0;0,06;0,0;1514,5253188367928
1,0;0711743;00001000104;34,0;5288,141014398516;0,0;1,0;0,06;0,0;184,23867089338773
1,0;0014602;00001000105;6,0;4390,435209362475;0,0;1,0;0,06;0,0;757,5624245254412
1,0;0200406;00001000106;4,0;4393,11084246813;0,0;1,0;0,06;0,0;1125,8712523829045
1,0;0998839;00001000107;17,0;4906,397112869784;0,0;1,0;0,06;0,0;315,27553621808
1,0;0505840;00001000108;13,0;6907,06346637166;0,0;1,0;0,06;0,0;569,2443900194913
1,0;0888431;00001000109;27,0;4959,4853577022905;0,0;1,0;0,06;0,0;210,5079780788523
1,0;0330138;00001000110;5,0;4482,202805350282;0,0;1,0;0,06;0,0;923,5121678521049
1,0;0038301;00001000111;12,0;5055,810750047089;0,0;1,0;0,06;0,0;449,2026609286218
1,0;0303597;00001000112;8,0;5478,261168200297;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0762484;00001000113;34,0;5578,048633082832;0,0;1,0;0,06;0,0;194,33904344450445
1,0;0382874;00001000114;32,0;5141,553208321095;0,0;1,0;0,06;0,0;188,54531027810097
1,0;0591606;00001000115;34,0;5488,816057265615;0,0;1,0;0,06;0,0;191,23018323744975
1,0;0168075;00001000116;18,0;7759,810758793111;0,0;1,0;0,06;0,0;473,2091513511958
1,0;0103470;00001000117;21,0;4947,573267549675;0,0;1,0;0,06;0,0;262,3735319775126
1,0;0737577;00001000118;27,0;5569,684068246436;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0529908;00001000119;1,0;3972,4103098590836;0,0;1,0;0,06;0,0;4012,1344129576714
1,0;0175015;00001000120;22,0;5366,102003556556;0,0;1,0;0,06;0,0;272,93990163393556
1,0;0447393;00001000121;19,0;7081,075879586224;0,0;1,0;0,06;0,0;411,0688718897343
1,0;0359439;00001000122;17,0;6402,6861223532815;0,0;1,0;0,06;0,0;411,42415789501644
1,0;0471551;00001000123;4,0;5580,759947069538;0,0;1,0;0,06;0,0;1430,2432640933564
1,0;0227084;00001000124;13,0;4718,949378316071;0,0;1,0;0,06;0,0;388,91136203841654
1,0;0512325;00001000125;34,0;5439,444930423689;0,0;1,0;0,06;0,0;189,5100946911915
1,0;0655493;00001000126;15,0;7707,813113936091;0,0;1,0;0,06;0,0;555,9166187358745
1,0;0863307;00001000127;16,0;4772,401599124605;0,0;1,0;0,06;0,0;324,2589025199126
1,0;0231245;00001000128;34,0;11820,84590710333;0,0;1,0;0,06;0,0;411,837909168913
1,0;0569076;00001000129;12,0;5405,627580457784;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0106411;00001000130;26,0;5151,274182752919;0,0;1,0;0,06;0,0;225,98061674229857
1,0;0598275;00001000131;23,0;5320,022584396776;0,0;1,0;0,29200000000000004;29,0;0,0
1,0;0762875;00001000132;27,0;5622,9896060559395;0,0;1,0;0,06;0,0;238,6707666937511
1,0;0702961;00001000133;14,0;5863,893087512115;0,0;1,0;0,06;0,0;450,9402489753981
1,0;0202202;00001000134;3,0;4097,824353017949;0,0;1,0;0,06;0,0;1393,3508889933476
1,0;0755720;00001000135;2,0;3585,259351137276;0,0;1,0;0,06;0,0;1819,5637134801555
1,0;0624785;00001000136;24,0;4933,535588475212;0,0;1,0;0,06;0,0;232,23865048657564
1,0;0248531;00001000137;33,0;13913,973884676441;0,0;1,0;0,06;0,0;497,11063674990856
1,0;0541121;00001000138;4,0;4056,0114169958233;0,0;1,0;0,06;0,0;1039,4790428658698
1,0;0642871;00001000139;16,0;4784,381321363473;0,0;1,0;0,06;0,0;325,0728599174589
1,0;0495413;00001000140;8,0;5086,643047370285;0,0;1,0;0,06;0,0;664,7748653809224
1,0;0909453;00001000141;20,0;5080,811225916251;0,0;1,0;0,06;0,0;281,55475398359704
1,0;0590177;00001000142;0,0;4,3655745685100555e-11;0,0;1,0;0,06;0,0;48421,472003550014
1,0;0270160;00001000143;30,0;5393,139228894614;0,0;1,0;0,06;0,0;208,97396943003486
1,0;0634834;00001000144;14,0;10586,341118649498;0,0;1,0;0,06;0,0;814,1020357190195
1,0;0046813;00001000145;9,0;5105,389298162652;0,0;1,0;0,06;0,0;596,0049991563867
1,0;0366698;00001000146;26,0;5050,396049507985;0,0;1,0;0,06;0,0;221,5552062598149
1,0;0480843;00001000147;10,0;7947,554350567724;0,0;1,0;0,06;0,0;839,1192918362365
1,0;0649677;00001000148;27,0;4863,351673294802;0,0;1,0;0,06;0,0;206,4275330184667
1,0;0644524;00001000149;11,0;7960,339788220005;0,0;1,0;0,06;0,0;767,8072166203589
1,0;0549721;00001000150;30,0;5176,709257066192;0,0;1,0;0,06;0,0;200,58771637832456
1,0;0128929;00001000151;2,0;3458,770114733128;0,0;1,0;0,06;0,0;1755,3688527558415
1,0;0800922;00001000152;24,0;4889,07370974801;0,0;1,0;0,06;0,0;230,14567547331652
1,0;0986399;00001000153;4,0;4311,520931992223;0,0;1,0;0,06;0,0;1104,9613008739848
1,0;0046070;00001000154;4,0;4650,825364019148;0,0;1,0;0,06;0,0;1191,9186118829193
1,0;0459067;00001000155;6,0;7019,063628148511;0,0;1,0;0,06;0,0;1211,1279648767782
1,0;0605936;00001000156;31,0;5338,2041411993105;0,0;1,0;0,06;0,0;201,12074251576374
1,0;0645288;00001000157;15,0;4984,634788999687;0,0;1,0;0,06;0,0;359,5107038238565
1,0;0309753;00001000158;9,0;4868,469418294703;0,0;1,0;0,06;0,0;568,3468864142994
1,0;0256035;00001000159;15,0;5184,491804443248;0,0;1,0;0,06;0,0;373,9251472741195
1,0;0038941;00001000160;9,0;4651,67931318224;0,0;1,0;0,06;0,0;543,0387308812499
1,0;0985443;00001000161;21,0;4824,945661967271;0,0;1,0;0,06;0,0;255,87049781213173
1,0;0714109;00001000162;32,0;5374,671226872432;0,0;1,0;0,06;0,0;197,09395450258236
1,0;0396635;00001000163;31,0;4899,3499886118125;0,0;1,0;0,06;0,0;184,5865915747519
1,0;0593648;00001000164;29,0;4931,43304853132;0,0;1,0;0,06;0,0;196,7396189196051
1,0;0908445;00001000165;29,0;9588,474419670742;0,0;1,0;0,06;0,0;382,5323764474955
1,0;0512480;00001000166;23,0;4830,917340850663;0,0;1,0;0,06;0,0;236,16345245205275
1,0;0929629;00001000167;5,0;6139,410963375756;0,0;1,0;0,06;0,0;1264,9630046534746
1,0;0570558;00001000168;20,0;56257,27572886965;0,0;1,0;0,06;0,0;3117,514649399881
1,0;0876724;00001000169;21,0;4851,588679370145;0,0;1,0;0,06;0,0;257,28339706607096
1,0;0027800;00001000170;34,0;5130,290146268535;0,0;1,0;0,06;0,0;178,7391514848753
1,0;0914879;00001000171;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0;5274,680734616559
1,0;0325089;00001000172;32,0;5340,8191276375455;0,0;1,0;0,06;0,0;195,85256803915397
