ref;cliente;contrato;prazo;valor;mes;dia;prob;atraso
2,0;0603476;00001000000;20,0;5121,43723786656;0,0;1,0;0,06;0,0
2,0;0859747;00001000001;11,0;20069,210588906913;0,0;1,0;0,29200000000000004;29,0
2,0;0758384;00001000002;3,0;3962,3483714031718;0,0;1,0;0,06;0,0
2,0;0042843;00001000003;19,0;5141,999997059399;0,0;1,0;0,06;0,0
2,0;0460452;00001000004;5,0;7712,372384041799;0,0;1,0;0,06;0,0
2,0;0689662;00001000005;11,0;5187,047137744449;0,0;1,0;0,06;0,0
2,0;0301878;00001000006;28,0;5033,704710851561;0,0;1,0;0,29200000000000004;29,0
2,0;0771394;00001000007;13,0;12253,231862373617;0,0;1,0;0,06;0,0
2,0;0286786;00001000008;7,0;17543,464032482974;0,0;1,0;0,06;0,0
2,0;0517624;00001000009;33,0;11997,215528650373;0,0;1,0;0,06;0,0
2,0;0380321;00001000010;9,0;5448,431696559863;0,0;1,0;0,06;0,0
2,0;0093966;00001000011;25,0;6250,477902938455;0,0;1,0;0,06;0,0
2,0;0945622;00001000012;17,0;8091,523326125332;0,0;1,0;0,06;0,0
2,0;0222696;00001000013;29,0;5294,047654461576;0,0;1,0;0,06;0,0
2,0;0213271;00001000014;11,0;5177,3096028611735;0,0;1,0;0,06;0,0
2,0;0068601;00001000015;32,0;8021,144225770498;0,0;1,0;0,06;0,0
2,0;0625124;00001000016;8,0;5107,877160067593;0,0;1,0;0,06;0,0
2,0;0796465;00001000017;14,0;5972,870541971409;0,0;1,0;0,06;0,0
2,0;0107743;00001000018;26,0;5373,168854356282;0,0;1,0;0,06;0,0
2,0;0067064;00001000019;13,0;5790,33408444955;0,0;1,0;0,06;0,0
2,0;0622300;00001000020;15,0;5518,29819399246;0,0;1,0;0,06;0,0
2,0;0740716;00001000021;3,0;7230,983980809844;0,0;1,0;0,06;0,0
2,0;0798189;00001000022;5,0;5180,9333844324065;0,0;1,0;0,06;0,0
2,0;0914737;00001000023;11,0;5341,344845483124;0,0;1,0;0,06;0,0
2,0;0176950;00001000024;2,0;6148,90014244365;0,0;1,0;0,06;0,0
2,0;0049453;00001000025;11,0;5807,1622979648855;0,0;1,0;0,06;0,0
2,0;0996379;00001000026;27,0;5531,08306580294;0,0;1,0;0,06;0,0
2,0;0938488;00001000027;4,0;7652,935594066152;0,0;1,0;0,06;0,0
2,0;0322054;00001000028;1,0;5132,182969875565;0,0;1,0;0,06;0,0
2,0;0794535;00001000029;12,0;6374,991542710874;0,0;1,0;0,06;0,0
2,0;0163568;00001000030;25,0;5168,169629490175;0,0;1,0;0,06;0,0
2,0;0250497;00001000031;14,0;6009,288836742285;0,0;1,0;0,06;0,0
2,0;0244876;00001000032;7,0;6545,012423945685;0,0;1,0;0,06;0,0
2,0;0146746;00001000033;23,0;5106,368649843952;0,0;1,0;0,06;0,0
2,0;0403494;00001000034;0,0;0,0;0,0;1,0;0,5800000000000001;58,0
2,0;0809064;00001000035;13,0;42942,70029666885;0,0;1,0;0,06;0,0
2,0;0486556;00001000036;12,0;5357,777317465926;0,0;1,0;0,06;0,0
2,0;0243678;00001000037;16,0;5237,521843283604;0,0;1,0;0,06;0,0
2,0;0508791;00001000038;8,0;5477,724770568309;0,0;1,0;0,06;0,0
2,0;0531222;00001000039;8,0;5872,974711054538;0,0;1,0;0,06;0,0
2,0;0207754;00001000040;15,0;19221,66545944545;0,0;1,0;0,06;0,0
2,0;0075765;00001000041;10,0;16348,448552239357;0,0;1,0;0,06;0,0
2,0;0825490;00001000042;22,0;5149,188365144833;0,0;1,0;0,06;0,0
2,0;0268749;00001000043;13,0;11215,658812148475;0,0;1,0;0,06;0,0
2,0;0537496;00001000044;23,0;7140,5921610223295;0,0;1,0;0,06;0,0
